code,product_name_en,brands,serving_size,categories_tags,labels,allergens_tags,traces,energy-kcal_value,fat_value_per_100g,saturated_fat_value_per_100g,carbohydrates_value_per_g,sugars_value,proteins_value_per_100g,energy_value,off:food_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_score,off:ecoscore_grade, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts,label,salt_value_in_grams,sodium_value_in_grams,apple,banana,beef,eggs,fish,gelatin,gluten,milk,no_traces,nuts,orange,peach,peanuts,sesame-seeds,soybeans,sulphur-dioxide-and-sulphites
0815909020666,Blueberry high protein lower sugar blended yoghurt,Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,113.0,4.67,3.0,10.0,8.0,8.0,113.0,"milk-and-dairy-products,milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.08,0.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0815909020673,Peach high protein lower sugar blended yoghurt,Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,113.0,4.67,3.0,9.33,8.0,8.0,113.0,"milk-and-dairy-products,milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.08,0.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0036632020208,Vanilla triple zero nonfat yogurt smoothie,Not Known Brand,127.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,63.0,0.0,0.0,8.66,5.51,7.87,63.0,"milk-and-dairy-products,milk-and-yogurt",a,-4.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.19,0.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0036632039439,Plain icelandic style skyr nonfat yogurt,Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,60.0,0.0,0.0,4.67,4.67,10.67,60.0,"milk-and-dairy-products,milk-and-yogurt",a,-4.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.1,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0840024300164,Strawberry whole milk yogurt with brainpack,Not Known Brand,57.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,88.0,3.51,1.75,12.28,8.77,3.51,88.0,"milk-and-dairy-products,milk-and-yogurt",b,1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.11,0.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07789047893,Plain greek yogurt with strawberry fruit spread,Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,93.0,2.67,1.33,10.0,9.33,8.0,93.0,"milk-and-dairy-products,milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.07,0.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0077890478943,Blueberry plain greek yogurt fruit spread,Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,milk,no traces,93.0,2.67,1.33,10.0,9.33,8.0,93.0,"milk-and-dairy-products,milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.08,0.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0085239078679,Strawberry blended greek nonfat yogurt,Not Known Brand,150.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,80.0,0.0,0.0,10.67,9.33,8.67,80.0,"milk-and-dairy-products,milk-and-yogurt",a,-3.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.08,0.03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0041498136673,"Vanilla grade a light nonfat yogurt, vanilla",Not Known Brand,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,47.0,0.0,0.0,8.24,5.88,2.94,47.0,"milk-and-dairy-products,milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.08,0.03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0041498180188,"Original peach lowfat yogurt, original, peach",Not Known Brand,170.0,"dairies,fermented-foods,fermented-milk-products,desserts,dairy-desserts,fermented-dairy-desserts,yogurts",,no_traces,no traces,88.0,1.18,0.88,16.47,14.71,3.53,88.0,"milk-and-dairy-products,milk-and-yogurt",b,2.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes,No Label,0.09,0.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
