code,product_name_en,brands,brands_tags,quantity,serving_size,categories_tags,labels,labels_tags,countries_tags,origins,origins_tags,manufacturing_places,emb_codes,allergens,allergens_tags,traces,traces_tags,energy-kcal_unit,energy-kcal_value,no_nutrition_data,nutrition_data_per,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,sugars_value,carbohydrates_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nutriscore_grade,off:nutriscore_score,off:ecoscore_score,off:ecoscore_grade, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts
0043192104408,Organic plain probiotic nonfat yogurt,nancy's,nancy-s,,6 ONZ (170 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",Organic,en:organic,en:united-states,,,,,Milk,en:milk,,,kcal,41.0,,100g,0.0,g,0.0,g,5.29,4.71,g,5.29,g,0.17,g,0.068,g,41.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-2.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0070470438269,Yoplait Kids Raspberry/Strawberry Banana Variety Pack 8 Count,yoplait,yoplait,,1 container (113 g) (113 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,,,,,kcal,88.0,,100g,0.44,g,0.0,g,18.58,13.27,g,2.65,g,110.0,mg,44.0,mg,88.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0857055006224,lassi yogurt smoothie,,,,,"en:beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:dairy-drinks,en:fermented-dairy-desserts,en:fermented-drinks,en:yogurts,en:fermented-milk-drinks,en:drinkable-yogurts",,,en:united-states,,,,,,,,,kcal,67.510548523207,,100g,3.3755274261603,g,1.6877637130802,g,8.0168776371308,7.5949367088608,g,3.3755274261603,g,0.13713080168776,g,0.054852320675104,g,67.510548523207,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",e,17.0,17.0,e,Yes,Yes,Yes,Yes,Yes,Yes
0039779004025,Mixed berry parfait,kitchen cravings,kitchen-cravings,,220 g,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,,,,,kcal,230.0,,serving,2.5,g,1.0,g,46.0,25.0,g,9.0,g,425.0,mg,170.0,mg,230.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,0.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0079893161853,Dairy Free coconut yogurt alternative,open nature,open-nature,24 oz,0g,"en:plant-based-foods-and-beverages,en:dairies,en:fermented-foods,en:fermented-milk-products,en:dairy-substitutes,en:desserts,en:dairy-desserts,en:non-dairy-desserts,en:non-dairy-fermented-foods,en:fermented-dairy-desserts,en:non-dairy-yogurts,en:yogurts",,,en:united-states,,,,,Nuts,en:nuts,,,kcal,70.588235294118,,100g,5.2941176470588,g,5.2941176470588,g,5.2941176470588,0.0,g,0.58823529411765,g,12.5,g,5.0,g,70.588235294118,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",d,15.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0818290016263,Mixed berry on bottom vanilla low-fat greek yogurt,chobani,chobani,pcs,1 CONTAINER (150 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,"en:germany,en:united-states",,,,,Milk,en:milk,,,kcal,93.33,,100g,1.67,g,1.0,g,13.33,12.0,g,6.67,g,0.13,g,0.052,g,93.33,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-1.0,73.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0052159704766,Yo baby,stonyfield,stonyfield,,,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts","Organic, No GMOs, USDA Organic, Non GMO project","en:organic,en:no-gmos,en:usda-organic,en:non-gmo-project",en:united-states,,,,,,,,,kcal,104.16666666667,,100g,3.125,g,2.0833333333333,g,12.5,9.375,g,5.2083333333333,g,0.1953125,g,0.078125,g,104.16666666667,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,2.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0053600000550,"La yogurt, light probiotic blended non-fat yogurt, strawberry",la yogurt,la-yogurt,,1 CONTAINER (170 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,Milk,en:milk,,,kcal,53.0,,100g,0.0,g,0.0,g,8.82,7.06,g,3.53,g,102.5,mg,41.0,mg,53.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0053600000581,"La yogurt, light probiotic blended nonfat yogurt, blueberry",la yogurt,la-yogurt,,1 CONTAINER (170 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,Milk,en:milk,,,kcal,53.0,,100g,0.0,g,0.0,g,9.41,7.06,g,3.53,g,102.5,mg,41.0,mg,53.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",a,-1.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
0053600000727,"La yogurt, probiotic blended lowfat yogurt, peach",la yogurt,la-yogurt,,1 CONTAINER (170 g),"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts",,,en:united-states,,,,,Milk,en:milk,,,kcal,106.0,,100g,0.88,g,0.59,g,19.41,17.06,g,4.12,g,147.5,mg,59.0,mg,106.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",b,2.0,67.0,b,Yes,Yes,Yes,Yes,Yes,Yes
